# PV Battery SOFC TANK energy_deficit Energy_loss System_cost CF
1.000000000000000000e+00 -1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.348728847397524532e+03 3.748295697108120748e+03 8.164000000000000000e+04 1.018709327109628648e+05
-1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 2.073115454432517708e+03 1.051850064157874414e+02 8.308000000000000000e+04 1.141767318164877652e+05
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.524352756210194457e+03 1.767746006851160246e+03 8.836000000000000000e+04 1.112252913431529159e+05
1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.276923381970508672e+03 3.848790494403351204e+03 9.364000000000000000e+04 1.127938507295576273e+05
-1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 2.011751658218113334e+03 1.065921173424416821e+02 9.508000000000000000e+04 1.252562748732717009e+05
0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.461831992761691481e+03 1.839523096870528434e+03 1.003600000000000000e+05 1.222874798914253770e+05
1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.197431959280079809e+03 3.942888913767671966e+03 1.056400000000000000e+05 1.236014793892011949e+05
-1.000000000000000000e+00 -1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.981285240500498048e+03 1.432160504437477186e+02 9.628000000000000000e+04 1.259992786075074691e+05
0.000000000000000000e+00 -1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.432202997712575780e+03 1.888118119778295750e+03 1.015600000000000000e+05 1.230430449656886340e+05
1.000000000000000000e+00 -1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.149656426251076027e+03 3.970862980974738093e+03 1.068400000000000000e+05 1.240848463937661436e+05
-1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.964045879581879035e+03 1.717999078584193455e+02 1.082800000000000000e+05 1.377406881937281869e+05
0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.404352294553771571e+03 1.940457716335587520e+03 1.135600000000000000e+05 1.346252844183065754e+05
1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.128160862363874230e+03 4.044538185786863323e+03 1.188400000000000000e+05 1.357624129354581237e+05
-1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.927383017892162570e+03 1.760821793284351031e+02 1.202800000000000000e+05 1.491907452683824231e+05
0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.374499447992267051e+03 2.010819488504239189e+03 1.255600000000000000e+05 1.461774917198840121e+05
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.086046631010487317e+03 4.129517442550575652e+03 1.308400000000000000e+05 1.471306994651573186e+05
